State Name,District Name,Town Name,Total   Households ,Total Population of Town,pucca road,kuccha road,hsp,beds,doctors,paramed staff,dsp,phc,govt schools,pvt schools,govt colleges,pvt colleges,theatres,electricity,banks
TAMIL NADU,THIRUVALLUR,Tiruverkadu (M + OG),16301,64698,44,20,9,68,13,44,6,1,6,12,0,4,0,8092,5
TAMIL NADU,THIRUVALLUR,Gummidipoondi (TP),4787,18891,22,1,4,38,12,34,2,3,9,7,0,0,2,6002,8
TAMIL NADU,THIRUVALLUR,Madaharpakkam (CT),1109,4250,4,1,0,0,0,0,3,0,6,2,0,0,1,1850,1
TAMIL NADU,THIRUVALLUR,Peddikuppam (CT),2100,8044,3,1,0,0,0,0,1,0,3,0,0,0,0,1439,1
TAMIL NADU,THIRUVALLUR,Ponneri (TP),7842,31025,30,5,4,52,16,49,11,3,10,9,1,0,3,6660,14
TAMIL NADU,THIRUVALLUR,Arani (TP),3328,12833,15,1,2,20,9,21,3,3,8,3,0,0,0,3157,2
TAMIL NADU,THIRUVALLUR,Minjur (TP),7048,28337,58,24,3,41,10,28,9,3,16,19,0,1,2,10202,5
TAMIL NADU,THIRUVALLUR,Athipattu (CT),2762,11034,8,4,2,24,9,23,2,3,10,5,0,0,0,3199,1
TAMIL NADU,THIRUVALLUR,Nallur (CT),4887,19595,12,5,0,0,0,0,10,0,6,8,0,0,0,7092,1
TAMIL NADU,THIRUVALLUR,Alamathi (CT),1894,7424,10,15,0,0,0,0,1,0,6,1,0,3,0,1452,1
TAMIL NADU,THIRUVALLUR,Padianallur (CT),5912,23819,5,2,3,32,9,27,11,3,5,32,0,0,1,5992,3
TAMIL NADU,THIRUVALLUR,Edayanchavadi (CT),3142,12119,12,3,1,12,7,16,4,2,11,3,0,0,0,4423,2
TAMIL NADU,THIRUVALLUR,Uthukkottai (TP),3244,12740,15,5,3,30,12,35,7,3,13,10,0,0,2,4714,7
TAMIL NADU,THIRUVALLUR,Tiruttani (M),11122,44781,37,1,5,73,25,99,43,3,28,9,1,4,5,3274,9
TAMIL NADU,THIRUVALLUR,Pallipattu (TP),1979,8721,12,2,2,20,8,28,8,3,11,7,0,0,1,2502,5
TAMIL NADU,THIRUVALLUR,Pothatturpettai (TP),4711,22040,19,2,4,40,14,40,16,3,28,0,0,0,1,4207,3
TAMIL NADU,THIRUVALLUR,Kodivalasa (CT),2046,9024,7,1,1,15,5,16,6,2,13,2,0,1,0,1164,4
TAMIL NADU,THIRUVALLUR,Vanganur (CT),1508,6584,9,2,2,24,7,28,2,3,5,0,0,0,2,1762,2
TAMIL NADU,THIRUVALLUR,Ammavarikuppam (CT),2450,10750,9,1,1,15,8,27,9,2,9,2,0,0,0,2923,1
TAMIL NADU,THIRUVALLUR,Srikalikapuram (CT),1090,5044,5,2,1,15,5,17,2,2,7,0,0,0,0,1127,2
TAMIL NADU,THIRUVALLUR,Thiruvallur (M),14004,56074,62,1,5,110,35,110,24,3,20,24,0,3,4,20029,11
TAMIL NADU,THIRUVALLUR,Kakkalur (CT),3707,14528,5,7,0,0,0,0,5,0,4,8,0,0,0,4314,5
TAMIL NADU,THIRUVALLUR,Thozhur (CT),1430,5698,3,1,0,0,0,0,1,0,10,4,0,0,0,394,1
TAMIL NADU,THIRUVALLUR,Vengathur (CT),5958,23292,7,1,1,0,0,0,8,0,3,8,0,1,1,7172,6
TAMIL NADU,THIRUVALLUR,Kadambathur (CT),2791,11235,10,5,6,20,8,23,6,3,14,6,0,0,0,3376,6
TAMIL NADU,THIRUVALLUR,Perambakkam (CT),1573,6462,19,1,2,40,7,23,6,3,7,1,0,0,0,1151,2
