Month,Region,Headquarter,Call Average
5,Delhi,Ambala,575
5,Delhi,Amritsar,231
5,Delhi,Bharatpur,429
5,Delhi,Bhatinda,548
5,Delhi,Delhi,52
5,Delhi,Hisar,476
5,Delhi,Jaipur,573
5,Delhi,Jalandhar,577
5,Delhi,Jammu,521
5,Delhi,Karnal,582
5,Delhi,Kota,148
5,Delhi,Ludhiana,141
5,Delhi,Mandi,261
5,Delhi,Patiala,151
5,Delhi,Rohtak,730
5,Delhi,Sikar,614
5,Delhi,Sri Ganganagar,226
5,Delhi,Udaipur,29
5,Kolkata,Balasore,115
5,Kolkata,Bhagalpur,242
5,Kolkata,Burdwan,36
5,Kolkata,Dhanbad,179
5,Kolkata,Dharbanga,429
5,Kolkata,Dibrugarh,89
5,Kolkata,Gauhati,243
5,Kolkata,Gaya,14
5,Kolkata,Jamshedpur,235
5,Kolkata,Kolkata - 1,63
5,Kolkata,Kolkata - 2,468
5,Kolkata,Krishnanagar,189
5,Kolkata,Malda,652
5,Kolkata,Midnapore,295
5,Kolkata,Motihari,136
5,Kolkata,Muzaffarpur,494
5,Kolkata,Nagaon,43
5,Kolkata,Patna - 1,512
5,Kolkata,Patna - 2,376
5,Kolkata,Purnea,139
5,Kolkata,Ranchi - 1,284
5,Kolkata,Ranchi - 2,42
5,Kolkata,Silchar,17
5,Kolkata,Siliguri / Coochbehar,384
5,Lucknow,Agra,546
5,Lucknow,Aligarh,656
5,Lucknow,Allahabad,116
5,Lucknow,Azamgarh,478
5,Lucknow,Bareilly,505
5,Lucknow,CUTTACK,2
5,Lucknow,Dehradun,447
5,Lucknow,Faizabad,298
5,Lucknow,Ghaziabad,382
5,Lucknow,Ghazipur / Balia,302
5,Lucknow,Gorakhpur -1,600
5,Lucknow,Gorakhpur -2,98
5,Lucknow,Haldwani,399
5,Lucknow,Jhansi,493
5,Lucknow,Kanpur - 2,201
5,Lucknow,Lucknow - 1,53
5,Lucknow,Lucknow-2,22
5,Lucknow,Meerut,653
5,Lucknow,Moradabad,416
5,Lucknow,Muzaffarnagar,798
5,Lucknow,Varanasi-1,620
5,Lucknow,Varanasi-2,93
6,Delhi,Ambala,593
6,Delhi,Amritsar,609
6,Delhi,Bharatpur,483
6,Delhi,Bhatinda,689
6,Delhi,Delhi,706
6,Delhi,Gurgaon,20
6,Delhi,Hisar,575
6,Delhi,Jaipur,739
6,Delhi,Jalandhar,779
6,Delhi,Jammu,669
6,Delhi,Jodhpur,196
6,Delhi,Karnal,700
