Month,Region,Head,Call Average,Performance,Pob
5,Delhi,Ambala,21.2962963,61.67155663,4.734467728
5,Delhi,Amritsar,17.76923077,55.04209639,9.842845921
5,Delhi,Bharatpur,17.16,,
5,Delhi,Bhatinda,21.07692308,58.22668886,10.12755483
5,Delhi,Delhi,2.166666667,94.56635046,3.167427429
5,Delhi,Gurgaon,,13.15974282,
5,Delhi,Hisar,17.62962963,54.4554025,28.42890264
5,Delhi,Jaipur,22.92,28.49204293,12.77696569
5,Delhi,Jalandhar,19.89655172,103.2783376,2.632798455
5,Delhi,Jammu,19.2962963,19.88604659,6.543685268
5,Delhi,Jhunjhunu,,,
5,Delhi,Jodhpur,,48.3957509,
5,Delhi,Karnal,21.55555556,85.25803217,23.95598414
5,Delhi,Kota,,12.51119301,2.658889187
5,Delhi,Ludhiana,12.81818182,51.31154253,3.229696153
5,Delhi,Mandi,10.875,49.09802292,2.276186436
5,Delhi,Patiala,16.77777778,58.85959576,2.986726622
5,Delhi,Rohtak,27.03703704,57.67290509,17.47162633
5,Delhi,Sikar,,,
5,Delhi,Sri Ganganagar,,,
5,Delhi,Udaipur,2.230769231,14.34272292,
5,Kolkata,BHUBANESWAR,,,
5,Kolkata,Balasore,14.375,,
5,Kolkata,Bhagalpur,10.08333333,53.18443323,0.391400785
5,Kolkata,Burdwan,1.44,56.65527526,2.008062229
5,Kolkata,CUTTACK,,,
5,Kolkata,Dhanbad,17.9,40.16573242,3.362585848
5,Kolkata,Dharbanga,16.5,38.69179455,18.0974188
5,Kolkata,Dibrugarh,4.045454545,37.83644837,
5,Kolkata,Gauhati,12.78947368,66.09890712,0.196472796
5,Kolkata,Gaya,0.538461538,23.14514346,1.624324385
5,Kolkata,Jamshedpur,9.791666667,15.93190385,7.71535073
5,Kolkata,Kolkata - 1,9,29.15732983,0.919159213
5,Kolkata,Kolkata - 2,18.72,174.1574502,8.999806777
5,Kolkata,Krishnanagar,7.56,91.83694701,0.361142521
5,Kolkata,Malda,26.08,51.37277034,4.278958508
5,Kolkata,Midnapore,11.34615385,85.7790514,
5,Kolkata,Motihari,7.157894737,60.8603029,7.212593999
5,Kolkata,Muzaffarpur,19.76,76.63027787,5.5565345
5,Kolkata,Nagaon,1.869565217,84.4973491,1.044063391
5,Kolkata,Patna - 1,20.48,129.544855,15.50622785
5,Kolkata,Patna - 2,17.09090909,233.4147204,2.754273491
5,Kolkata,Purnea,6.619047619,96.42528,8.115361172
5,Kolkata,Ranchi - 1,11.83333333,43.08966954,0.144319548
5,Kolkata,Ranchi - 2,1.615384615,15.93762893,0.124471295
5,Kolkata,Silchar,0.80952381,97.33245649,
5,Kolkata,Siliguri / Coochbehar,15.36,52.09551628,3.070706158
5,Lucknow,Agra,21.84,110.1917067,7.336080828
5,Lucknow,Aligarh,27.33333333,10.36356317,6.498495202
5,Lucknow,Allahabad,4.833333333,112.3344371,45.93227844
5,Lucknow,Azamgarh,17.7037037,45.04787192,29.66952452
5,Lucknow,Bareilly,21.04166667,35.73706384,17.68513861
5,Lucknow,CUTTACK,,,
5,Lucknow,Dehradun,18.625,64.67108742,18.27757579
5,Lucknow,Faizabad,13.54545455,58.09010801,24.19900305
5,Lucknow,Ghaziabad,14.69230769,270.5856957,2.302304421
5,Lucknow,Ghazipur / Balia,13.13043478,112.6546526,30.33357416
5,Lucknow,Gorakhpur -1,24,113.278479,32.99252996
5,Lucknow,Gorakhpur -2,14,228.1962749,6.785907482
5,Lucknow,Haldwani,15.96,24.99947956,4.247132891
5,Lucknow,Jhansi,21.43478261,58.05466088,11.55194606
5,Lucknow,Kanpur - 2,8.04,8.133617809,10.05567814
5,Lucknow,Lucknow - 1,53,266.4277582,
5,Lucknow,Lucknow-2,2.2,5.989588018,
5,Lucknow,Meerut,25.11538462,25.3458096,30.4459917
5,Lucknow,Moradabad,16,53.16143371,24.38521549
5,Lucknow,Muzaffarnagar,30.69230769,162.7061286,60.23873087
5,Lucknow,Varanasi-1,24.8,44.68281011,5.269729192
5,Lucknow,Varanasi-2,,,
6,Delhi,Ambala,23.72,27.09662374,12.99948076
6,Delhi,Amritsar,27.68181818,90.97556861,24.27600291
6,Delhi,Bharatpur,20.125,,
6,Delhi,Bhatinda,26.5,33.30269934,12.97529154
6,Delhi,Delhi,28.24,74.78986252,7.255172487
6,Delhi,Gurgaon,,4.605973585,
6,Delhi,Hisar,26.13636364,37.99300812,18.87121443
6,Delhi,Jaipur,28.42307692,22.74618346,8.974611744
6,Delhi,Jalandhar,31.16,34.15764949,11.61481556
6,Delhi,Jammu,25.73076923,30.95617207,16.362297
6,Delhi,Jhunjhunu,,,
6,Delhi,Jodhpur,16.33333333,5.175991055,0.917538389
6,Delhi,Karnal,26.92307692,20.51853727,13.97106938
6,Delhi,Kota,,3.601466326,1.398272294
6,Delhi,Ludhiana,37.26315789,29.83136721,9.325432403
6,Delhi,Mandi,38.5,17.70725113,0.532591116
6,Delhi,Patiala,29.35294118,25.01876383,9.762666505
6,Delhi,Rohtak,28.28,30.30575761,12.53083314
6,Delhi,Sikar,,,
6,Delhi,Sri Ganganagar,,,
6,Delhi,Srinagar,18.5,27.86739249,2.062767069
6,Kolkata,BHUBANESWAR,6.192307692,,
6,Kolkata,Balasore,0.388888889,,
6,Kolkata,Bhagalpur,30.26923077,46.32520228,11.254516
6,Kolkata,Burdwan,20.11538462,36.32977321,15.10481123
6,Kolkata,CUTTACK,6.461538462,,
6,Kolkata,Dharbanga,19.09090909,68.63837643,11.11245129
6,Kolkata,Dibrugarh,19.63636364,14.63142607,5.401560315
6,Kolkata,Gauhati,16.70833333,36.39907591,6.478703414
6,Kolkata,Gaya,19.42307692,25.66996821,9.148963886
6,Kolkata,Jamshedpur,17.48,10.77484882,6.697916282
6,Kolkata,Kolkata - 1,16.94117647,16.97480258,6.102536853
6,Kolkata,Kolkata - 2,29.5,69.82025711,24.8191094
6,Kolkata,Krishnanagar,13.86956522,33.08293655,13.76860242
6,Kolkata,Malda,23,14.86494157,0.23743943
6,Kolkata,Midnapore,19.12,26.2628288,17.68406059
6,Kolkata,Motihari,24.80769231,97.60292836,23.17675888
6,Kolkata,Muzaffarpur,21.73076923,87.57872351,11.71143032
6,Kolkata,Nagaon,13.54545455,26.40094068,13.16085434
6,Kolkata,Patna - 1,28.875,280.7406082,39.30769484
6,Kolkata,Patna - 2,33.3,132.6476148,11.71173432
6,Kolkata,Purnea,27,72.60468308,29.85060183
6,Kolkata,Ranchi - 1,31.29166667,15.0110703,4.304635361
6,Kolkata,Ranchi - 2,18.58333333,10.89435821,4.214743547
6,Kolkata,Silchar,14.73913043,20.85442599,6.060535584
6,Kolkata,Siliguri / Coochbehar,23,43.41559387,0.211248657
6,Lucknow,Agra,26.33333333,172.404719,45.53146158
6,Lucknow,Aligarh,30.52173913,4.542244923,12.66621569
6,Lucknow,Allahabad,26.64,57.47712149,38.48102163
6,Lucknow,Azamgarh,24.16666667,27.26162557,16.89805303
6,Lucknow,Dehradun,22.34782609,28.69494773,21.01360822
6,Lucknow,Faizabad,24.47619048,68.26423909,33.28914994
6,Lucknow,Ghaziabad,24.75,17.85792956,7.132679574
6,Lucknow,Ghazipur / Balia,26.38461538,48.65497509,37.97110914
6,Lucknow,Gorakhpur -1,26.72727273,85.57372064,26.52098191
